timestamp,ip_address,http_method,status_code,response_time
2023-06-20 10:00:00,192.168.0.1,GET,200,0.5
2023-06-20 10:00:01,192.168.0.2,POST,404,1.2
2023-06-20 10:00:02,192.168.0.3,GET,200,0.8
2023-06-20 10:00:03,192.168.0.2,GET,200,0.6
2023-06-20 10:00:04,192.168.0.1,GET,500,2.1
2023-06-20 10:00:05,192.168.0.4,POST,200,1.3
2023-06-20 10:00:06,192.168.0.1,GET,200,0.7
2023-06-20 10:00:07,192.168.0.2,POST,404,1.0
2023-06-20 10:00:08,192.168.0.3,GET,200,0.4
2023-06-20 10:00:09,192.168.0.4,GET,200,0.9
